Rainfall,MinTemp,MaxTemp,SpeedWind,Wind_E,Wind_W,Wind_S,Wind_N,Wind_ENE,Wind_ESE,Wind_NE,Wind_NNW,Wind_NW,Wind_NNE,Wind_SE,Wind_SSE,Wind_SSW,Wind_SW,Wind_WNW,Wind_WSW,9amTemp,9amHumidity,9amCloud,9am_Wind_E,9am_Wind_W,9am_Wind_S,9am_Wind_N,9am_Wind_ENE,9am_Wind_ESE,9am_Wind_NE,9am_Wind_NNW,9am_Wind_NW,9am_Wind_NNE,9am_Wind_SE,9am_Wind_SSE,9am_Wind_SSW,9am_Wind_SW,9am_Wind_WNW,9am_Wind_WSW,9amWindSpeed,9amPressure,3pmTemp,3pmHumidity,3pmCloud,3pm_Wind_E,3pm_Wind_W,3pm_Wind_S,3pm_Wind_N,3pm_Wind_ENE,3pm_Wind_ESE,3pm_Wind_NE,3pm_Wind_NNW,3pm_Wind_NW,3pm_Wind_NNE,3pm_Wind_SE,3pm_Wind_SSE,3pm_Wind_SSW,3pm_Wind_SW,3pm_Wind_WNW,3pm_Wind_WSW,3pmWindSpeed,3pmPressure
60.4,15.4,27.6,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17.2,100,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1008.6,25.9,57,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1006.5
45.2,13.3,16.4,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.8,98,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1002,13.9,44,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,1002.1
37.6,15.1,19.6,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.2,97,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,1009.8,17.7,99,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006.8
32,0.8,11.3,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.6,82,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,1024.3,9.5,70,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,1024.8
32,17.8,27,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,70,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,1015.9,25.1,60,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,1014.6
22,17.3,25.5,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.5,98,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,1008.3,25,61,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,1009
20.8,15.2,20.4,43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.8,99,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,1019.1,18.9,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33,1015.8
15.8,12.7,25.5,54,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.8,76,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,1011.7,24.4,56,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,1011.4
12.8,14.5,19,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.2,99,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1018.7,17.9,95,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015.1
12.4,11.5,22.6,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.3,71,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,1014.2,20.4,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33,1012.7
11.2,1.7,16.3,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,63,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1023.1,15.8,42,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1021
10.4,4.4,16.2,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,1020.1,15,60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,1021.1
10,10.1,23.7,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1,87,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1028.9,22.7,51,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,1024.9
9.8,4.2,23.7,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,1023.3,21.4,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1020.4
8,8.6,14.4,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.1,79,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,1015.3,13.3,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,1014
7.6,12.3,18.2,78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15.1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,1006.2,17.7,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52,1006
7.4,4.3,11.3,46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.9,82,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,1021.3,10.2,49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26,1021.3
6.8,15.9,26,46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.2,71,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,1014.1,24.2,54,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,1012.3
6.6,4.1,8.7,72,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,89,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35,999,7,63,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35,1000.2
5.4,15.8,24.4,76,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.6,67,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,1000.2,22.2,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41,997.6
4.8,9.5,16.1,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.1,72,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26,1008.2,14.5,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41,1008.9
4.4,16,27.9,117,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19.9,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,1002.9,20.9,55,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1000.8
4,14.5,21.1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,1003.4,19.5,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,1004.3
4,16.5,24.8,43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.2,76,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,1009.9,23.6,54,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,1009.2
4,12.1,19.2,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.3,84,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1023,18.1,53,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,1020.2
3.8,6.9,17.2,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.2,49,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1023.3,15,37,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,1021.3
3.8,5,11.8,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.3,61,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33,1008.7,9.9,52,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37,1008.2
3.6,4.4,11.4,69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,67,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1019.3,9.7,59,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37,1020.7
3.4,15.5,18.4,63,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.8,84,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,1017,17.7,74,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31,1013.3
3.2,14.8,28.8,56,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.5,50,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,1010.1,27.3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,1008.8
3.2,-3.5,12.6,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.7,93,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,1005.1,10.3,55,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,1002
3,0.8,8.8,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,87,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,1002.3,6.9,63,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,1001
2.8,3.2,8.7,65,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.9,70,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35,1013.4,7.4,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,1015.6
2.8,3.8,16.3,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.1,99,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1026.6,15.9,48,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,1025
2.8,18,29.9,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,71,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1015.9,29,42,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,1013.3
2.6,14.5,29.2,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.1,76,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,1010.6,27.4,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1006.1
2.6,14,27.6,44,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18.9,64,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26,1006.5,26.5,39,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,1006.3
2.4,2.6,9.4,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.7,73,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,1016.3,8.5,49,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,1019
2.2,1.1,11,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.9,69,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1017.8,10.6,43,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,1017.7
2.2,19.3,33.6,63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2,79,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,1013.2,30.1,41,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1011.1
1.8,16.3,23.9,57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.4,78,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,1020.6,21.5,59,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39,1018.7
1.8,5.8,16.5,39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,99,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,1017.8,14.7,55,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,1016.3
1.8,1.4,13.1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.5,76,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,1012.5,11.2,54,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,1014.4
1.8,3.1,16.9,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.8,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,1013.4,16.2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,1014.1
1.6,2,10.7,46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.1,88,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26,1002.2,8.8,54,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,1005.1
1.2,6.5,9.8,69,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.6,89,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46,1004.6,9.2,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,1004.3
1,15.9,29.3,48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21.7,69,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1007.5,27.1,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,1004.3
1,12.2,25,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.3,93,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1014.3,23.2,57,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,1008.9
1,10.1,24.6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.1,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014.7,24,50,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1011.4
0.8,14.6,23.2,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,74,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1019.2,21.6,49,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1018.3
0.8,16.4,23.7,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,90,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,1021.5,21.2,68,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,1020
0.8,5,13.2,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.3,88,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1025.5,12.7,57,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1022.3
0.8,6,10.6,61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.8,67,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,1012.9,8.5,66,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37,1011.9
0.6,8.5,20.8,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,1004.9,19.1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41,1003.5
0.6,7.4,15.1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.4,65,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,992.3,11.1,69,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,994.8
0.6,5,19,41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.9,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.1,16.6,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,1015.6
0.6,16.5,22.5,69,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.9,89,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39,1008,19.7,68,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35,1006.3
0.4,15,35,46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21.3,67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1014.8,33.6,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,1010.7
0.4,-1.1,16.7,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.9,99,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1034.2,15.8,49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,1029.3
0.4,-2.7,11.9,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.2,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024.1,11.2,44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1022.5
0.4,4.5,14.5,54,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.9,99,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37,1020.3,12.7,85,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,1017.8
0.4,2.9,11.4,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,87,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1017.1,8.7,64,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,1013.5
0.4,4.2,10.4,61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.6,67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,1013.9,7.2,84,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,1011.2
0.4,5.8,9.1,63,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.8,78,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,1009,7.4,59,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37,1008.6
0.4,12.5,28.9,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.9,58,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,1023.4,27.2,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1020.6
0.2,17.3,28.2,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21.7,73,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1011,26.4,50,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,1010
0.2,15.5,28.3,61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.3,60,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,1011.8,26,38,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1009.5
0.2,13.5,33.2,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.3,32,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1013.6,32.3,14,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,1010.3
0.2,8.6,19,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,55,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1015.6,16.6,35,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,1013.6
0.2,-2.9,16.9,44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.5,68,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1027.7,15.3,39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,1024
0.2,0.5,19,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,68,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1020.7,18.1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,1017.7
0.2,-3.2,15.3,46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.9,71,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,1027,14.5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,1022.5
0.2,-2.8,13.7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.6,74,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1033.1,13.2,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1029.8
0.2,-1.4,13.6,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.5,80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,1026.4,12.7,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1025.5
0.2,0.2,16.2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.4,100,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1025.8,15.5,48,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,1022.9
0.2,4.6,12.8,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.3,62,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1018,12.2,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,1018.4
0.2,0.2,15.3,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.9,83,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1034.6,14.6,60,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1030.5
0.2,4.6,15.6,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.5,99,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1038,14.8,51,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,1034.5
0.2,-4.7,12.5,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1026.9,11.1,50,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1022.1
0.2,-3.8,10.8,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,75,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,1029.5,9.8,57,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1028.3
0.2,-0.8,13.2,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,99,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1024.9,12.7,55,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1021.3
0.2,-1.3,17,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.5,87,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1038.4,16.5,44,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1034.9
0.2,-0.7,15.2,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030.1,14.7,51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,1028.7
0.2,0.7,17.3,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.6,99,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031,16.7,48,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,1027
0.2,0.2,12,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.7,99,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1029.7,11,73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1027.8
0.2,14.7,27.3,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6,73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,1017.4,26.2,45,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1014.5
0.2,12.2,28.8,44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17.2,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015.5,26.5,37,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1012.5
0.2,9.9,26.7,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20.4,50,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,1007.2,25.6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,1006.9
0.2,11.4,29.6,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015.1,27.5,33,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1010.3
0.2,14.1,29.5,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1,82,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.6,27.8,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,1015.7
